,district_id,total_rev,total_locrev,pta_rev,prop_taxes,sales_taxes,public_utility_taxes,income_taxes,other_taxes,total_salaries,salaries_instruction,salaries_teachers
6438,2504200.0,46232000,24686000,0,0,0,0,0,0,24250000,17580000,11758000
6439,2504230.0,21808000,10281000,9131000,0,0,0,0,0,11659000,7852000,5746000
6440,2504260.0,13311000,10890000,10818000,0,0,0,0,0,5664000,4122000,2721000
6441,2504290.0,27225000,21364000,0,0,0,0,0,0,15039000,11125000,8125000
6442,2504320.0,54931000,23789000,22301000,0,0,0,0,0,24399000,17584000,11917000
6443,2504360.0,56544000,21305000,0,0,0,0,0,0,28928000,20720000,14833000
6444,2504410.0,61811000,44432000,40099000,0,0,0,0,0,28976000,20091000,13781000
6445,2504440.0,30888000,16106000,14244000,0,0,0,0,0,15254000,10545000,7903000
6446,2504500.0,42787000,25822000,24566000,0,0,0,0,0,24934000,16810000,11446000
6447,2504530.0,6335000,5069000,5005000,0,0,0,0,0,3261000,2366000,1374000
6448,2504560.0,35425000,25740000,0,0,0,0,0,0,18484000,13015000,8962000
6449,2504590.0,26009000,13616000,12923000,0,0,0,0,0,12514000,8777000,4983000
6450,2504620.0,56887000,39068000,36813000,0,0,0,0,0,31127000,22254000,15321000
6451,2504650.0,11379000,9826000,9670000,0,0,0,0,0,6184000,4418000,2764000
6452,2504710.0,5426000,4380000,4302000,0,0,0,0,0,2288000,1503000,837000
6453,2504750.0,0,0,0,0,0,0,0,0,0,0,0
6454,2504770.0,117800000,35334000,32472000,0,0,0,0,0,58661000,42567000,28447000
6455,2504800.0,27646000,14536000,11343000,0,0,0,0,0,15389000,11106000,8060000
6456,2504830.0,177003000,39273000,34108000,0,0,0,0,0,83998000,54453000,30601000
6457,2504860.0,68283000,52473000,50024000,0,0,0,0,0,37248000,24799000,16620000
6458,2504890.0,85472000,22139000,18737000,0,0,0,0,0,41480000,28271000,18042000
6459,2504920.0,1840000,1107000,941000,0,0,0,0,0,926000,637000,445000
6460,2504950.0,47914000,33016000,31407000,0,0,0,0,0,28508000,18693000,13045000
6461,2504980.0,169282000,107475000,100365000,0,0,0,0,0,87987000,62191000,39869000
6462,2505010.0,96203000,47221000,43519000,0,0,0,0,0,44921000,33400000,22891000
6463,2505020.0,11814000,6413000,0,0,0,0,0,0,6595000,4450000,0
6464,2505070.0,40029000,23104000,0,0,0,0,0,0,22262000,16179000,9991000
6465,2505100.0,13777000,8562000,0,0,0,0,0,0,6499000,4187000,2688000
6466,2505130.0,36376000,11175000,9436000,0,0,0,0,0,18397000,12721000,7993000
6467,2505160.0,19404000,10828000,0,0,0,0,0,0,9670000,6234000,3995000
6468,2505220.0,32817000,14528000,13010000,0,0,0,0,0,12787000,8789000,5907000
6469,2505270.0,22294000,12642000,0,0,0,0,0,0,10730000,6385000,3369000
