,school_id,grad_rate_all,grad_rate_native,grad_rate_asian,grad_rate_black,grad_rate_hispanic,grad_rate_mixed,grad_rate_linc
141,10132000476.0,92.0,,,85.0,,,
142,10135000484.0,85.0,,,85.0,,,
143,10135000487.0,85.0,,,,,,
144,10135000492.0,80.0,,,80.0,,,
145,10138000496.0,,,,,,,
146,10138000498.0,,,,,,,
147,10138000505.0,85.0,,,,,,
148,10138000506.0,94.0,,,,,,
149,10138000507.0,80.0,,,,,,
150,10138001662.0,,,,,,,
151,10141000511.0,80.0,,,80.0,21.0,,
152,10144000516.0,85.0,,,85.0,,,
153,10147000521.0,80.0,,,,,,
154,10147000525.0,,,,,,,
155,10147001787.0,90.0,,,,,,
156,10153000528.0,98.0,,,,,,
157,10153000531.0,,,,,,,
158,10156000538.0,97.0,,,,,,
159,10159000541.0,80.0,,,,,,
160,10159000544.0,80.0,,,,,,
161,10159000545.0,,,,,,,
162,10159000548.0,,,,,,,
163,10159001869.0,80.0,,,,,,
164,10162001368.0,,,,,,,
165,10162001824.0,91.0,,,90.0,,,
166,10164000567.0,90.0,,,,,,
167,10166000570.0,,,,,,,
168,10166000571.0,,,,,,,
169,10166001519.0,85.0,,,,,,
170,10168000576.0,75.0,,,75.0,,,
171,10169000582.0,90.0,,,,,,
172,10171000588.0,85.0,,,80.0,,,
173,10171002162.0,90.0,,,90.0,,,
174,10172000594.0,90.0,,,,,,
175,10173000599.0,93.0,,,,,,
176,10174000600.0,,,,,,,
177,10174000604.0,,,,,,,
178,10176000608.0,93.0,,,90.0,80.0,,
179,10177000611.0,90.0,,,,,,
180,10177000612.0,80.0,,,,,,
181,10177000614.0,,,,,,,
182,10177000615.0,,,,,,,
183,10177000617.0,,,,,,,
184,10180000629.0,88.0,,,85.0,60.0,,
185,10180000631.0,92.0,,,80.0,,,
186,10180000636.0,85.0,,,90.0,,,
187,10180001374.0,,,,,,,
188,10180001651.0,85.0,,,85.0,80.0,,
189,10180002419.0,90.0,,,90.0,,,
190,10183000662.0,,,,,,,
191,10183000663.0,,,,,,,
192,10183000667.0,90.0,,,,,,
193,10183000668.0,,,,,,,
194,10183000671.0,80.0,,,,,,
195,10183001532.0,,,,,,,
196,10183001751.0,85.0,,,,,,
197,10186000673.0,90.0,,,,,,
198,10189000678.0,89.0,,,80.0,,,
199,10192000469.0,90.0,,,90.0,,,
200,10192000698.0,,,,,,,
201,10192000702.0,83.0,,,85.0,,,
202,10192000704.0,90.0,,,,,,
203,10192000706.0,93.0,,,,,,
204,10192000717.0,92.0,,,90.0,,,
205,10192000725.0,93.0,,,,,,
206,10192000728.0,,,,,,,
207,10192000732.0,,,,,,,
208,10192000734.0,92.0,,,,,,
209,10192000737.0,90.0,,,,,,
210,10192000744.0,94.0,,,,60.0,,
211,10192001680.0,,,,,,,
212,10192001752.0,94.0,,,,,,
213,10195000756.0,,,,,,,
214,10195001511.0,,,,,,,
215,10195001720.0,,,,,,,
216,10198000759.0,85.0,,,,,,
217,10201000764.0,,,,,,,
218,10201000765.0,,,,,,,
219,10201000767.0,,,,,,,
220,10201000770.0,,,,,,,
221,10201000772.0,,,,,,,
222,10201000774.0,,,,,,,
223,10201000775.0,85.0,,,,,,
224,10204000776.0,,,,,,,
225,10204000780.0,85.0,,,,,,
226,10204000783.0,90.0,,,,,,
227,10204001546.0,85.0,,,,,,
228,10204002211.0,,,,,,,
229,10207000790.0,90.0,,,,,,
230,10207000791.0,85.0,,,,,,
231,10207000792.0,,,,,,,
232,10207000795.0,88.0,,,90.0,,,
233,10207002197.0,,,,,,,
234,10210000797.0,,,,,,,
235,10210000799.0,90.0,,,,,,
236,10210000800.0,,,,,,,
237,10210000808.0,85.0,,,,,,
238,10210000810.0,90.0,,,,,,
239,10210001549.0,90.0,,,,,,
240,10213000813.0,80.0,,,80.0,,,
241,10216000815.0,85.0,,,80.0,,,
242,10216000817.0,,,,,,,
243,10219000824.0,80.0,,,80.0,,,
244,10219001811.0,80.0,,,80.0,,,
245,10222000556.0,90.0,,,,,,
246,10222000836.0,95.0,,,,,,
247,10222000843.0,85.0,,,,,,
248,10222000848.0,96.0,,,,,,
249,10222001683.0,94.0,,,,,,
250,10222001821.0,,,,,,,
251,10225000852.0,,,,,,,
252,10225000856.0,,,,,,,
253,10225000857.0,,,,,,,
254,10231000862.0,,,,,,,
255,10231000863.0,,,,,,,
256,10231000866.0,,,,,,,
257,10231000868.0,85.0,,,,,,
258,10231000869.0,80.0,,,,,,
259,10231000985.0,,,,,,,
260,10235000891.0,90.0,,,90.0,,,
261,10237000898.0,87.0,,,85.0,,,
262,10237000899.0,93.0,,,90.0,,,
263,10237000900.0,85.0,,,80.0,,,
264,10237000906.0,85.0,,,80.0,,,
265,10237000912.0,83.0,,,75.0,,,
266,10237000934.0,81.0,,,85.0,,,
267,10237000942.0,84.0,,,85.0,,,
268,10237000962.0,88.0,,,85.0,,,
269,10237000964.0,80.0,,,80.0,,,
270,10237000969.0,80.0,,,80.0,,,
271,10237000989.0,86.0,,,80.0,,,
272,10237001038.0,,,,,,,
273,10237001618.0,,,,,,,
274,10237001686.0,,,,,,,
275,10237001688.0,72.0,,,75.0,60.0,,
276,10237002177.0,,,,,,,
277,10240000973.0,80.0,,,80.0,,,
278,10240000975.0,90.0,,,,,,
279,10240000979.0,,,,,,,
280,10240000980.0,80.0,,,,,,
281,10243000504.0,,,,,,,
282,10243000993.0,,,,,,,
283,10243001011.0,,,,,,,
284,10243001015.0,80.0,,,80.0,,,
285,10243001024.0,78.0,,,78.0,,,
286,10243001035.0,72.0,,,74.0,60.0,,
287,10243001036.0,78.0,,,75.0,,,
288,10243001417.0,,,,,,,
289,10243001457.0,,,,,,,
290,10243001691.0,,,,,,,
291,10243002157.0,,,,,,,
292,10243002214.0,91.0,,,90.0,,,
293,10248001042.0,90.0,,,,,,
294,10248001044.0,,,,,,,
295,10248001048.0,,,,,,,
296,10248001052.0,,,,,,,
297,10248001696.0,89.0,,,,,,
298,10249001056.0,98.0,,,,,,
299,10252001062.0,96.0,,,80.0,,,
300,10255001064.0,,,,,,,
301,10258001070.0,93.0,,,90.0,,,
302,10261001073.0,90.0,,,,,,
303,10263501075.0,94.0,,,90.0,,,
304,10264001080.0,90.0,,,85.0,,,
305,10265001573.0,92.0,,,,,,
306,10267001577.0,,,,,,,
307,10267001734.0,90.0,,,90.0,,,
308,10270001088.0,94.0,,,90.0,,,
309,10270002140.0,,,,,,,
