,school_id,agg_achi
0,10000500870.0,27.285714285714285
1,10000500871.0,23.5
2,10000500879.0,27.785714285714285
3,10000500889.0,30.07142857142857
4,10000600193.0,46.0
5,10000600872.0,24.425
6,10000600876.0,38.333333333333336
7,10000600877.0,42.9
8,10000600878.0,23.75
9,10000600880.0,42.7
10,10000600883.0,25.0
11,10000601434.0,44.875
12,10000601585.0,14.75
13,10000601685.0,48.125
14,10000601812.0,31.625
15,10000602209.0,32.66666666666667
16,10000700091.0,44.0
17,10000700248.0,56.416666666666664
18,10000700251.0,29.416666666666664
19,10000700337.0,57.785714285714285
20,10000700342.0,49.416666666666664
21,10000701422.0,56.75
22,10000701456.0,36.58333333333333
23,10000701483.0,50.91666666666667
24,10000701738.0,53.83333333333333
25,10000701739.0,43.0
26,10000701740.0,41.333333333333336
27,10000701741.0,51.0
28,10000701742.0,41.66666666666667
29,10000701743.0,51.66666666666667
30,10000702091.0,56.5
31,10000702186.0,56.41666666666667
32,10000800303.0,60.5
33,10000800495.0,62.0
34,10000800831.0,44.41666666666667
35,10000800839.0,65.5
36,10000800851.0,62.416666666666664
37,10000801423.0,69.83333333333334
38,10000801485.0,55.166666666666664
39,10000801798.0,56.1875
40,10000802097.0,70.41666666666667
41,10000802133.0,66.5
42,10000802198.0,43.166666666666664
43,10001102094.0,30.666666666666664
44,10001102095.0,31.5
45,10001102096.0,29.875
46,10001200123.0,41.3125
47,10001200874.0,17.333333333333336
48,10001200884.0,40.5
49,10001201630.0,44.20238095238095
50,10001300714.0,52.66666666666667
51,10001301498.0,57.91666666666667
52,10001301682.0,37.099999999999994
53,10001302401.0,54.58333333333333
54,10001302402.0,57.5
55,10003000001.0,29.1
56,10003000003.0,20.625
57,10003000005.0,33.8
58,10003000006.0,39.66666666666667
59,10006000007.0,24.833333333333332
60,10006000008.0,31.5
61,10006001467.0,38.5
62,10009000011.0,10.0
63,10009000017.0,37.5
64,10009000020.0,23.25
65,10009000021.0,21.6
66,10009001725.0,28.666666666666664
67,10010000022.0,55.5
68,10010000027.0,42.833333333333336
69,10010000028.0,50.0
70,10012000522.0,41.25
71,10012001471.0,52.6
72,10012001472.0,30.25
73,10012001473.0,35.64285714285714
74,10012001474.0,30.200000000000003
75,10012001475.0,38.083333333333336
76,10012001758.0,40.75
77,10012002417.0,39.875
78,10018000033.0,28.333333333333336
79,10018000034.0,25.200000000000003
80,10018000035.0,33.916666666666664
81,10018500893.0,47.0
82,10018500952.0,52.599999999999994
83,10018502137.0,30.0
84,10018802193.0,21.5
85,10018802194.0,26.9
86,10018902195.0,40.4
87,10018902196.0,49.92857142857143
88,10019001182.0,41.58333333333333
89,10019001183.0,22.25
90,10019001184.0,43.14285714285714
91,10019001460.0,48.5
92,10019001815.0,47.099999999999994
93,10019002149.0,43.75
94,10019402395.0,43.583333333333336
95,10019402396.0,42.83333333333333
96,10019402398.0,41.16666666666667
97,10019402399.0,29.8
98,10019502407.0,34.0
99,10021000036.0,31.6
100,10021000037.0,43.41666666666667
101,10021000041.0,52.5
102,10021000042.0,55.900000000000006
103,10021001254.0,53.7
104,10021001259.0,60.0
105,10021002363.0,54.833333333333336
106,10024000045.0,25.166666666666668
107,10024000046.0,24.333333333333332
108,10024000047.0,42.33333333333333
109,10024000048.0,30.333333333333336
110,10024000049.0,46.78571428571429
111,10024000050.0,41.214285714285715
112,10024000543.0,38.1
113,10024000546.0,36.25
114,10024001408.0,19.166666666666664
115,10024002159.0,34.0
116,10027000012.0,33.75
117,10027000013.0,39.214285714285715
118,10027000023.0,53.6
119,10027000024.0,24.6
120,10027000056.0,45.85714285714286
121,10027000057.0,43.2
122,10027000058.0,48.4
123,10027000059.0,44.416666666666664
124,10027000060.0,33.0
125,10027000062.0,43.0
126,10027000065.0,46.875
127,10027000066.0,40.9
128,10027000067.0,48.9
129,10027000068.0,36.5
130,10027000069.0,30.75
131,10027000070.0,39.5
132,10027000100.0,33.75
133,10027000162.0,34.66666666666667
134,10027000549.0,56.25
135,10027000550.0,57.25
136,10027000625.0,53.333333333333336
137,10027000641.0,31.333333333333336
138,10027000648.0,32.416666666666664
139,10027000660.0,39.599999999999994
140,10027001477.0,50.0
141,10027001708.0,21.833333333333332
142,10027001709.0,48.6
143,10027001710.0,40.78571428571429
144,10027001711.0,43.400000000000006
145,10027001712.0,42.166666666666664
146,10027001713.0,36.41666666666667
147,10027001714.0,41.7
148,10027001715.0,28.6
149,10027001716.0,40.57142857142857
150,10027001759.0,33.4
151,10027001783.0,45.83333333333333
152,10027001784.0,23.642857142857146
153,10027001810.0,27.9
154,10027001859.0,27.03333333333333
155,10027001888.0,55.66666666666667
156,10027002072.0,51.07142857142857
157,10027002073.0,30.1
158,10030000074.0,12.625
159,10030001641.0,17.25
160,10033000082.0,25.125
161,10033000084.0,28.5
162,10033000086.0,17.8
163,10033000087.0,24.2
164,10033000088.0,19.0
165,10033000090.0,36.5
166,10033001479.0,20.3
167,10036000092.0,10.666666666666668
168,10036000094.0,28.5
169,10036000095.0,27.0
170,10036000096.0,33.375
171,10036000098.0,43.33333333333333
172,10036000099.0,28.125
173,10036001426.0,32.125
174,10036001480.0,46.25
175,10039000103.0,28.5
176,10039000106.0,20.75
177,10039000107.0,10.0
178,10039000108.0,15.5
179,10039000112.0,17.875
180,10039000113.0,53.7
181,10039000119.0,48.125
182,10039000127.0,16.666666666666664
183,10039000133.0,24.5
184,10039000136.0,10.333333333333332
185,10039000139.0,21.25
186,10039000140.0,15.125
187,10039000141.0,10.875
188,10039000142.0,25.5
189,10039000156.0,15.0
190,10039000161.0,18.333333333333332
